path,region,diff,id,gamemode,shortname
data/dlc03/sessions/islands/pool/colony03_a01_01/colony03_a01_01.a7m,8,3,2,7,M1
data/dlc03/sessions/islands/pool/colony03_a01_02/colony03_a01_02.a7m,8,3,2,5,M2
data/dlc03/sessions/islands/pool/colony03_a01_02_mp/colony03_a01_02_mp.a7m,8,3,2,2,M2mp
data/dlc03/sessions/islands/pool/colony03_a01_03/colony03_a01_03.a7m,8,3,2,7,M3
data/dlc03/sessions/islands/pool/colony03_a01_04/colony03_a01_04.a7m,8,3,2,7,M4
data/dlc06/sessions/islands/pool/colony02_m_02/colony02_m_02.a7m,16,3,1,7,M2
data/dlc06/sessions/islands/pool/colony02_m_04/colony02_m_04.a7m,16,3,1,7,M4
data/dlc06/sessions/islands/pool/colony02_m_05/colony02_m_05.a7m,16,3,1,7,M5
data/dlc06/sessions/islands/pool/colony02_m_09/colony02_m_09.a7m,16,3,1,7,M9
data/sessions/islands/pool/colony01/colony01_m_01/colony01_m_01.a7m,0,0,0,7,M1
data/sessions/islands/pool/colony01/colony01_m_01/colony01_m_01_river_01.a7m,4,3,3,7,M1R
data/sessions/islands/pool/colony01/colony01_m_02/colony01_m_02.a7m,0,0,0,3,M2
data/sessions/islands/pool/colony01/colony01_m_02/colony01_m_02_river_01.a7m,4,3,3,3,M2R
data/sessions/islands/pool/colony01/colony01_m_03/colony01_m_03.a7m,0,0,0,7,M3
data/sessions/islands/pool/colony01/colony01_m_03/colony01_m_03_river_01.a7m,4,3,3,7,M3R
data/sessions/islands/pool/colony01/colony01_m_04/colony01_m_04.a7m,0,0,0,7,M4
data/sessions/islands/pool/colony01/colony01_m_04/colony01_m_04_river_01.a7m,4,3,3,7,M4R
data/sessions/islands/pool/colony01/colony01_m_05/colony01_m_05.a7m,0,0,0,3,M5
data/sessions/islands/pool/colony01/colony01_m_05/colony01_m_05_river_01.a7m,4,3,3,3,M5R
data/sessions/islands/pool/colony01/colony01_m_06/colony01_m_06.a7m,0,0,0,7,M6
data/sessions/islands/pool/colony01/colony01_m_06/colony01_m_06_river_01.a7m,4,3,3,7,M6R
data/sessions/islands/pool/moderate/moderate_m_01/moderate_m_01.a7m,2,3,3,7,M1
data/sessions/islands/pool/moderate/moderate_m_01/moderate_m_01_river_01.a7m,2,3,3,7,M1R
data/sessions/islands/pool/moderate/moderate_m_02/moderate_m_02.a7m,2,3,1,7,M2
data/sessions/islands/pool/moderate/moderate_m_02/moderate_m_02_river_01.a7m,2,2,1,7,M2R
data/sessions/islands/pool/moderate/moderate_m_03/moderate_m_03.a7m,2,3,3,7,M3
data/sessions/islands/pool/moderate/moderate_m_03/moderate_m_03_river_01.a7m,2,3,3,7,M3R
data/sessions/islands/pool/moderate/moderate_m_04/moderate_m_04.a7m,2,3,1,7,M4
data/sessions/islands/pool/moderate/moderate_m_04/moderate_m_04_river_01.a7m,2,2,1,7,M4R
data/sessions/islands/pool/moderate/moderate_m_05/moderate_m_05.a7m,2,3,3,7,M5
data/sessions/islands/pool/moderate/moderate_m_05/moderate_m_05_river_01.a7m,2,3,3,7,M5R
data/sessions/islands/pool/moderate/moderate_m_06/moderate_m_06.a7m,2,3,1,7,M6
data/sessions/islands/pool/moderate/moderate_m_06/moderate_m_06_river_01.a7m,2,2,1,7,M6R
data/sessions/islands/pool/moderate/moderate_m_07/moderate_m_07.a7m,2,1,3,7,M7
data/sessions/islands/pool/moderate/moderate_m_07/moderate_m_07_river_01.a7m,2,3,3,7,M7R
data/sessions/islands/pool/moderate/moderate_m_08/moderate_m_08.a7m,2,1,3,7,M8
data/sessions/islands/pool/moderate/moderate_m_08/moderate_m_08_river_01.a7m,2,3,3,7,M8R
data/sessions/islands/pool/moderate/moderate_m_09/moderate_m_09.a7m,2,1,3,7,M9
data/sessions/islands/pool/moderate/moderate_m_09/moderate_m_09_river_01.a7m,2,3,3,7,M9R
