data/sessions/maps/pool/moderate/moderate_archipel_ll_01/moderate_archipel_ll_01.a7t    xy:(2048, 2048), playable:(203, 203, 1853, 1853)
       x     y  type  id  sz
0   1056   616     1   1   2
1   1560   480     1   0   1
2   1080  1088     2   0   0
3   1560  1560     1   0   1
4   1056  1096     1   1   2
5   1312  1520     1   3   0
6    216   936     1   0   2
7   1616   232     1   4   0
8   1368   224     1   3   0
9   1456   768     1   0   2
10   304   656     1   0   1
11   656  1456     1   0   2
12   624  1056     1   1   2
13   744   216     1   0   2
14   424  1616     1   4   0
15   216  1328     1   0   1
16   456   376     1   0   1
17   632   656     1   1   2
18   248   224     1   4   0
19  1552  1192     1   0   1
20   216   424     1   3   0
21  1136   392     1   3   0
22  1064  1520     1   3   0
23  1024  1088     2   0   0
24  1024  1024     2   0   0
25  1080  1024     2   0   0
data/sessions/maps/pool/moderate/moderate_archipel_lm_01/moderate_archipel_lm_01.a7t    xy:(2048, 2048), playable:(203, 203, 1853, 1853)
       x     y  type  id  sz
0   1064  1152     1   1   2
1   1168  1552     1   0   1
2   1080   760     1   1   2
3    360   240     1   4   0
4    864   256     1   3   0
5    864   512     1   3   0
6    424  1544     1   0   1
7   1416   240     1   0   2
8    640   752     1   1   2
9    640  1144     1   1   2
10  1120   240     1   0   1
11   272   480     1   0   1
12  1496   648     1   0   1
13   344  1000     1   0   1
14   416   760     1   3   0
15  1464  1344     1   0   1
16   568   472     1   0   1
17  1624  1632     1   4   0
18  1520   976     1   3   0
19  1024  1160     2   0   0
20   392  1296     1   3   0
21   784  1576     1   3   0
22  1160   528     1   3   0
23  1072  1120     2   0   0
24  1064  1160     2   0   0
25  1032  1120     2   0   0
data/sessions/maps/pool/moderate/moderate_archipel_ls_01/moderate_archipel_ls_01.a7t    xy:(2048, 2048), playable:(203, 203, 1853, 1853)
       x     y  type  id  sz
0    856  1592     1   3   0
1    328   504     1   0   1
2    880  1184     2   0   0
3   1592   256     1   4   0
4    240   832     1   3   0
5    744   240     1   4   0
6   1184  1144     1   1   1
7    240   264     1   4   0
8    480  1584     1   3   0
9   1040   704     1   1   2
10  1480   672     1   0   1
11   696   584     1   3   0
12  1264  1584     1   3   0
13   872  1216     1   1   1
14  1000   408     1   3   0
15  1264   312     1   0   1
16  1528  1336     1   0   1
17   800   896     1   0   0
18   248  1368     1   3   0
19  1536  1016     1   3   0
20   472   872     1   1   1
21   520  1200     1   0   1
22   848  1184     2   0   0
23   880  1152     2   0   0
24   848  1152     2   0   0
